Сектор на 135.5 градусов, дистанция 2 единицы 
Юнит0, позиция(-100, -66), направление(-33, -59)
Юнит1, позиция(-42, -22), направление(-76, -31)
Юнит2, позиция(-55, -95), направление(-36, -38)
Юнит3, позиция(-9, -39), направление(-73, -19)
Юнит4, позиция(-64, -73), направление(-58, -5)
Юнит5, позиция(-47, -98), направление(-96, -9)
Юнит6, позиция(-84, -79), направление(-18, -8)
Юнит7, позиция(-74, -53), направление(-5, -82)
Юнит8, позиция(-88, -31), направление(-62, -29)
Юнит9, позиция(-6, -65), направление(-1, -33)
Юнит10, позиция(-67, -78), направление(-89, -97)
Юнит11, позиция(-89, -59), направление(-36, -27)
Юнит12, позиция(-56, -53), направление(-32, -47)
Юнит13, позиция(-41, -63), направление(-43, -38)
Юнит14, позиция(-22, -71), направление(-59, -77)
Юнит15, позиция(-58, -10), направление(-65, -84)
Юнит16, позиция(-58, -60), направление(-94, -12)
Юнит17, позиция(-95, -54), направление(-52, -36)
Юнит18, позиция(-50, -30), направление(-71, -10)
Юнит19, позиция(-52, -7), направление(-99, -94)
Юнит20, позиция(-46, -16), направление(-77, -71)
Юнит21, позиция(-24, -34), направление(-60, -44)
Юнит22, позиция(-61, -56), направление(-92, -69)
Юнит23, позиция(-62, -63), направление(-77, -74)
Юнит24, позиция(-59, -71), направление(-18, -82)
Юнит25, позиция(-42, -61), направление(-85, -67)
Юнит26, позиция(-94, -23), направление(-70, -96)
Юнит27, позиция(-55, -79), направление(-14, -27)
Юнит28, позиция(-71, -30), направление(-28, -76)
Юнит29, позиция(-88, -3), направление(-27, -23)
Юнит30, позиция(-64, -39), направление(-10, -14)
Юнит31, позиция(-26, -45), направление(-33, -45)
Юнит32, позиция(-50, -50), направление(-48, -69)
Юнит33, позиция(-70, -34), направление(-76, -59)
Юнит34, позиция(-63, -93), направление(-9, -93)
Юнит35, позиция(-17, -47), направление(-13, -43)
Юнит36, позиция(-42, -91), направление(-91, -55)
Юнит37, позиция(-54, -78), направление(-12, -79)
Юнит38, позиция(-32, -87), направление(-70, -94)
Юнит39, позиция(-45, -38), направление(-9, -100)
Юнит40, позиция(-63, -76), направление(-41, -90)
Юнит41, позиция(-59, -5), направление(-17, -52)
Юнит42, позиция(-64, -9), направление(-50, -98)
Юнит43, позиция(-79, -4), направление(-80, -26)
Юнит44, позиция(-16, -32), направление(-1, -52)
Юнит45, позиция(-1, -47), направление(-66, -19)
Юнит46, позиция(-12, -100), направление(-62, -82)
Юнит47, позиция(-7, -72), направление(-33, -73)
Юнит48, позиция(-79, -93), направление(-17, -52)
Юнит49, позиция(-86, -87), направление(-83, -90)
Юнит50, позиция(-49, -65), направление(-84, -91)
Юнит51, позиция(-44, -81), направление(-51, -100)
Юнит52, позиция(-92, -76), направление(-97, -2)
Юнит53, позиция(-98, -11), направление(-91, -56)
Юнит54, позиция(-57, -7), направление(-15, -5)
Юнит55, позиция(-97, -86), направление(-13, -77)
Юнит56, позиция(-82, -42), направление(-100, -52)
Юнит57, позиция(-19, -2), направление(-4, -20)
Юнит58, позиция(-43, -91), направление(-2, -11)
Юнит59, позиция(-8, -62), направление(-78, -28)
Юнит60, позиция(-43, -10), направление(-21, -62)
Юнит61, позиция(-12, -85), направление(-9, -42)
Юнит62, позиция(-66, -98), направление(-89, -44)
Юнит63, позиция(-54, -72), направление(-45, -28)
Юнит64, позиция(-67, -25), направление(-14, -38)
Юнит65, позиция(-84, -56), направление(-58, -31)
Юнит66, позиция(-49, -78), направление(-2, -19)
Юнит67, позиция(-24, -43), направление(-1, -79)
Юнит68, позиция(-88, -25), направление(-11, -8)
Юнит69, позиция(-31, -97), направление(-90, -100)
Юнит70, позиция(-11, -99), направление(-12, -39)
Юнит71, позиция(-15, -98), направление(-77, -45)
Юнит72, позиция(-74, -12), направление(-15, -18)
Юнит73, позиция(-68, -68), направление(-43, -83)
Юнит74, позиция(-11, -79), направление(-46, -31)
Юнит75, позиция(-8, -32), направление(-71, -24)
Юнит76, позиция(-51, -66), направление(-45, -75)
Юнит77, позиция(-40, -55), направление(-88, -59)
Юнит78, позиция(-77, -61), направление(-47, -82)
Юнит79, позиция(-71, -13), направление(-4, -21)
Юнит80, позиция(-51, -34), направление(-63, -51)
Юнит81, позиция(-84, -3), направление(-5, -7)
Юнит82, позиция(-18, -12), направление(-95, -14)
Юнит83, позиция(-99, -86), направление(-66, -45)
Юнит84, позиция(-37, -14), направление(-29, -84)
Юнит85, позиция(-47, -15), направление(-45, -87)
Юнит86, позиция(-55, -68), направление(-92, -88)
Юнит87, позиция(-42, -79), направление(-44, -87)
Юнит88, позиция(-56, -19), направление(-18, -54)
Юнит89, позиция(-39, -71), направление(-78, -4)
Юнит90, позиция(-34, -27), направление(-50, -65)
Юнит91, позиция(-61, -8), направление(-41, -56)
Юнит92, позиция(-90, -46), направление(-76, -47)
Юнит93, позиция(-87, -14), направление(-51, -55)
Юнит94, позиция(-82, -32), направление(-78, -26)
Юнит95, позиция(-9, -42), направление(-95, -13)
Юнит96, позиция(-86, -23), направление(-75, -98)
Юнит97, позиция(-26, -66), направление(-76, -86)
Юнит98, позиция(-30, -67), направление(-41, -28)
Юнит99, позиция(-23, -82), направление(-3, -13)
Юнит100, позиция(-32, -37), направление(-30, -27)
Юнит101, позиция(-20, -98), направление(-15, -8)
Юнит102, позиция(-1, -98), направление(-73, -87)
Юнит103, позиция(-76, -57), направление(-75, -73)
Юнит104, позиция(-19, -39), направление(-28, -77)
Юнит105, позиция(-7, -95), направление(-68, -97)
Юнит106, позиция(-58, -8), направление(-69, -75)
Юнит107, позиция(-100, -36), направление(-14, -78)
Юнит108, позиция(-26, -87), направление(-40, -13)
